PointID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Mineral
Sample2_pt20,33.95,0.1,18.89,2.39,4.84,22.69,0.52,4.76,6.73,Garnet
Sample2_pt21,37.29,0.07,20.21,0,3.59,25.32,0.5,5.73,6.68,Garnet
Sample2_pt22,37.19,0.09,20.19,0,3.97,24.84,0.52,5.9,6.76,Garnet
Sample2_pt23,36.32,0.12,19.7,0.23,4.46,24.24,0.52,5.6,6.83,Garnet
Sample2_pt24,37.22,0,20.23,0.06,3.89,24.9,0.48,5.87,6.76,Garnet
Sample2_pt25,36.84,0.05,20.23,0.04,4.77,24.27,0.55,5.96,6.65,Garnet
Sample2_pt26,37.06,0.03,20.19,0.05,4.35,24.97,0.47,5.8,6.55,Garnet
Sample2_pt27,36.93,0.02,20.1,0,4.69,24.57,0.55,5.88,6.65,Garnet
Sample2_pt28,36.59,0,20.19,0.06,4.89,24.04,0.55,5.83,6.69,Garnet
Sample2_pt29,37.01,0.03,20.33,0.06,4.5,24.65,0.63,5.82,6.73,Garnet
Sample2_pt30,37.01,0,20.15,0,4.08,25.09,0.58,5.72,6.55,Garnet
Sample2_pt31,36.35,0.06,20.01,0.04,5.31,23.79,0.55,5.86,6.66,Garnet
Sample2_pt32,36.81,0,20.44,0.03,4.68,24.54,0.64,5.87,6.51,Garnet
Sample2_pt33,36.52,0.03,20.02,0,4.74,24.26,0.58,5.82,6.57,Garnet
Sample2_pt34,37.08,0.1,20.24,0.06,3.44,24.94,0.56,5.91,6.38,Garnet
Sample2_pt35,36.94,0.05,20.14,0.04,4.11,24.54,0.62,5.97,6.55,Garnet
Sample2_pt36,36.98,0,19.93,0.03,4.78,24.39,0.51,5.99,6.74,Garnet
Sample2_pt37,36.61,0,20.54,0,4.66,24.25,0.53,5.96,6.52,Garnet
Sample2_pt38,36.86,0.07,20.08,0.04,4.63,24.61,0.57,5.85,6.56,Garnet
Sample2_pt39,37.16,0,20.48,0.03,3.8,24.98,0.62,5.82,6.51,Garnet
Sample2_pt40,36.68,0.04,20.18,0,5.71,24.19,0.58,5.88,6.65,Garnet
Sample2_pt41,36.99,0.1,20.49,0.05,4.71,24.81,0.56,5.89,6.47,Garnet
Sample2_pt42,36.7,0.08,20.3,0,4.39,24.37,0.61,5.89,6.53,Garnet
Sample2_pt43,36.89,0,20.37,0.03,4.9,24.27,0.59,5.98,6.69,Garnet
Sample2_pt44,37.12,0.08,20.2,0.06,4.02,24.78,0.51,5.85,6.76,Garnet
Sample2_pt45,37.4,0.1,20.11,0.03,3.83,25,0.48,5.99,6.68,Garnet
Sample2_pt46,37.62,0.09,20.41,0.05,4.01,24.94,0.64,6.04,6.73,Garnet
Sample2_pt47,37.03,0.08,20.08,0.03,4.27,25.09,0.49,5.84,6.47,Garnet
Sample2_pt48,36.99,0.07,20.13,0,4.69,24.56,0.56,5.96,6.66,Garnet
Sample2_pt49,36.69,0.11,20.14,0,4.31,24.42,0.49,5.79,6.68,Garnet
Sample2_pt50,36.92,0.09,20.18,0.02,4.05,24.71,0.6,5.93,6.5,Garnet
Sample2_pt51,36.94,0.05,19.95,0.02,4.13,24.79,0.59,5.9,6.49,Garnet
Sample2_pt52,36.76,0.03,20.33,0.04,4.66,24.67,0.51,5.8,6.61,Garnet
Sample2_pt53,36.91,0.11,19.98,0.04,4.73,24.6,0.54,5.84,6.64,Garnet
Sample2_pt54,36.69,0.05,20.34,0.04,4.75,24.25,0.59,5.93,6.58,Garnet
Sample2_pt55,36.64,0.08,20.29,0.03,4.86,24.2,0.49,5.71,6.86,Garnet
Sample2_pt56,37.24,0.06,20.42,0,3.93,24.89,0.61,5.95,6.6,Garnet
Sample2_pt57,36.92,0.03,20.07,0.02,4.46,24.52,0.57,5.94,6.55,Garnet
Sample2_pt58,36.63,0.04,20.01,0,4.28,24.68,0.58,5.79,6.45,Garnet
Sample2_pt59,37.1,0.08,19.99,0,4.22,24.78,0.57,5.94,6.63,Garnet
Sample2_pt60,36.97,0.07,20.19,0.04,4.14,24.75,0.55,5.91,6.55,Garnet
Sample2_pt61,36.83,0.15,20.3,0,4.45,24.66,0.48,5.88,6.62,Garnet
Sample2_pt62,37.03,0.09,20.19,0.03,4.61,24.76,0.63,5.94,6.5,Garnet
Sample2_pt63,36.61,0.14,19.89,0.02,4.57,24.4,0.48,5.96,6.48,Garnet
Sample2_pt64,36.55,0.04,20.13,0.02,5.6,23.68,0.57,6.05,6.7,Garnet
Sample2_pt65,36.7,0.04,20,0.02,4.82,24.13,0.61,5.99,6.63,Garnet
Sample2_pt66,37.69,0.1,20.8,0,3.98,25.53,0.6,5.78,6.76,Garnet
Sample2_pt67,37.13,0.06,20.36,0,4.28,24.58,0.55,6.01,6.49,Garnet
Sample2_pt68,37.59,0.09,20.92,0,4.27,24.95,0.6,6.1,6.71,Garnet
Sample2_pt69,38.27,0.08,20.47,0,3.35,25.7,0.54,6,6.8,Garnet
Sample2_pt70,36.54,0.1,20.32,0,5.37,23.87,0.58,5.95,6.8,Garnet
Sample2_pt71,36.77,0.05,20.19,0,4.55,24.35,0.5,5.95,6.6,Garnet
Sample2_pt72,36.88,0.05,20.47,0.03,4.28,24.86,0.49,5.81,6.5,Garnet
Sample2_pt73,36.76,0.18,20.14,0.03,4.25,24.25,0.64,5.94,6.62,Garnet
Sample2_pt74,37.2,0.08,20.29,0,4.25,24.86,0.55,5.99,6.6,Garnet
Sample2_pt75,36.3,0.09,20.27,0.15,4.81,24.27,0.55,5.75,6.53,Garnet
Sample2_pt76,37.31,0.09,20.27,0,3.98,25.16,0.5,5.92,6.62,Garnet
Sample2_pt77,36.85,0.04,20.28,0.04,4.65,24.57,0.48,5.97,6.56,Garnet
Sample2_pt78,36.79,0.05,20.38,0,4.59,24.53,0.6,5.9,6.54,Garnet
Sample2_pt79,36.86,0.04,20.33,0.04,4.64,23.87,0.53,6,6.7,Garnet
Sample2_pt80,36.99,0.11,20.45,0.03,4.66,24.63,0.6,5.91,6.67,Garnet
Sample2_pt81,36.62,0,20.1,0.08,4.58,24.33,0.5,5.88,6.6,Garnet
Sample2_pt82,37.7,0.04,20.7,0.07,3.63,25.12,0.56,6.11,6.66,Garnet
Sample2_pt83,36.89,0.02,20.38,0.04,4.7,24.01,0.6,6.08,6.72,Garnet
Sample2_pt84,37.28,0.08,20.37,0,4.23,24.64,0.59,6.01,6.69,Garnet
Sample2_pt85,37.23,0.15,20.48,0.06,4.5,24.31,0.63,6.08,6.8,Garnet
Sample2_pt86,36.89,0.13,20.79,0.03,4.52,24.7,0.56,5.87,6.63,Garnet
Sample2_pt87,36.7,0.06,20.27,0.03,4.94,24.08,0.57,5.89,6.71,Garnet
Sample2_pt88,37.1,0.11,20.81,0.04,4.15,24.76,0.48,5.85,6.69,Garnet
Sample2_pt89,36.91,0.05,20.48,0,4.82,24.22,0.53,6.01,6.79,Garnet
Sample2_pt90,37.23,0,20.55,0.03,4.16,24.82,0.58,5.87,6.7,Garnet
Sample2_pt91,37.18,0.06,20.63,0.03,4.34,24.72,0.59,6.05,6.52,Garnet
Sample2_pt92,37.01,0.08,20.13,0.02,4.9,24.16,0.61,6.09,6.75,Garnet
Sample2_pt93,36.7,0.12,20.3,0,4.72,24.31,0.58,5.91,6.59,Garnet
Sample2_pt94,36.68,0,20.32,0.03,5.13,23.62,0.66,6.08,6.82,Garnet
Sample2_pt95,36.78,0.08,19.81,0.02,5.03,23.9,0.59,6.05,6.78,Garnet
Sample2_pt96,36.16,0,19.13,1.14,4.6,23.92,0.59,5.58,6.68,Garnet
Sample2_pt97,36.39,0.09,20.5,0.02,5.19,24.05,0.57,5.87,6.6,Garnet
Sample2_pt98,36.67,0.04,20.46,0.05,5.09,24.03,0.58,5.96,6.75,Garnet
Sample2_pt99,37.22,0,20.26,0,3.91,25.08,0.56,5.78,6.66,Garnet
Sample2_pt100,37.03,0.05,20.38,0.05,4.78,24.16,0.62,6,6.75,Garnet
Sample2_pt101,36.78,0.05,20.43,0.03,4.7,24.21,0.57,5.91,6.66,Garnet
Sample2_pt102,37.09,0.06,20.3,0.03,4.58,24.55,0.6,5.96,6.67,Garnet
Sample2_pt103,36.9,0.16,20.16,0,4.71,24.4,0.55,6.03,6.68,Garnet
Sample2_pt104,35.3,0.11,19.21,0.41,5.64,23.2,0.56,5.65,6.58,Garnet
Sample2_pt105,36.2,0.08,20.37,0,4.72,24.04,0.57,5.8,6.46,Garnet
Sample2_pt106,36.74,0.16,20.61,0,4.78,24.29,0.59,5.91,6.72,Garnet
Sample2_pt107,36.55,0.09,20.3,0,4.67,24.39,0.55,5.8,6.64,Garnet
Sample2_pt108,37.07,0.09,20.66,0.02,4.63,24.52,0.59,5.99,6.72,Garnet
Sample2_pt109,37.02,0,20.68,0,5.24,24.28,0.56,6.06,6.66,Garnet
Sample2_pt110,37.91,0.12,20.66,0.03,3.06,25.81,0.5,5.81,6.81,Garnet
Sample2_pt111,36.7,0.08,20.32,0.03,4.58,24.28,0.59,5.84,6.68,Garnet
Sample2_pt112,36.65,0.08,20.57,0.03,5.64,23.87,0.54,5.89,6.86,Garnet
Sample2_pt113,36.68,0.11,20.49,0,5.18,24.18,0.51,5.88,6.82,Garnet
Sample2_pt114,36.9,0.1,20.4,0.02,4.35,24.51,0.55,5.83,6.72,Garnet
Sample2_pt115,36.91,0.15,20.46,0,4.63,24.63,0.53,5.89,6.66,Garnet
Sample2_pt116,36.69,0.06,20.21,0.03,5.71,23.64,0.59,6.02,6.88,Garnet
Sample2_pt117,36.86,0.11,20.37,0,4.71,24.45,0.56,5.87,6.69,Garnet
Sample2_pt118,37.96,0.08,20.34,0,3.53,25.41,0.46,6.04,6.72,Garnet
Sample2_pt119,36.79,0.04,20.88,0,5.14,24.04,0.57,5.93,6.83,Garnet
Sample2_pt120,36.67,0.04,20.31,0,5.44,23.86,0.59,5.89,6.9,Garnet
Sample2_pt121,36.93,0.06,20.56,0.02,4.35,24.55,0.52,5.88,6.73,Garnet
Sample2_pt122,36.76,0.07,20.31,0,5.41,23.97,0.51,6,6.91,Garnet
Sample2_pt123,37.17,0.03,20.29,0,4.12,24.75,0.51,5.9,6.75,Garnet
Sample2_pt124,37.07,0.07,20.38,0,4.79,24.48,0.55,6.03,6.71,Garnet
Sample2_pt125,37.06,0.1,20.59,0.02,4.47,24.86,0.59,5.85,6.64,Garnet
Sample2_pt126,37.39,0.06,20.45,0.03,4.03,25.07,0.56,5.8,6.81,Garnet
Sample2_pt127,37,0.04,20.58,0.05,5.16,24.29,0.65,5.8,6.9,Garnet
Sample2_pt128,36.68,0.09,20.1,1.09,4.9,23.83,0.53,5.79,6.9,Garnet
Sample2_pt129,37.02,0.09,20.57,0.03,4.75,24.47,0.56,5.89,6.78,Garnet
Sample2_pt130,36.83,0.08,20.58,0,5.12,24.1,0.59,5.95,6.88,Garnet
Sample2_pt131,36.51,0.15,20.72,0,5.24,24,0.52,5.91,6.77,Garnet
Sample2_pt132,36.85,0.08,20.86,0,4.91,24.41,0.63,5.84,6.69,Garnet
Sample2_pt133,37.19,0.07,20.39,0,4.14,24.78,0.51,5.94,6.68,Garnet
Sample2_pt134,36.43,0.08,19.71,0.06,5.47,23.88,0.55,5.69,6.85,Garnet
Sample2_pt135,37.06,0.14,20.36,0.03,4.04,24.91,0.56,5.85,6.64,Garnet
Sample2_pt136,37.38,0.05,20.52,0,4.5,24.8,0.58,5.98,6.78,Garnet
Sample2_pt137,36.94,0.13,20.59,0,4.77,24.04,0.6,6.01,6.85,Garnet
Sample2_pt138,36.88,0.1,20.79,0.05,5.1,24.12,0.6,5.91,6.79,Garnet
Sample2_pt139,37.21,0.12,20.66,0,4.07,24.9,0.61,5.78,6.66,Garnet
Sample2_pt140,36.79,1.55,20.01,0.04,3.11,25.53,0.56,5.93,6.51,Garnet
Sample2_pt141,37.14,0.09,20.72,0,4.54,24.74,0.52,5.89,6.82,Garnet
Sample2_pt142,38.12,0.15,20.52,0,2.97,26.06,0.53,5.89,6.73,Garnet
Sample2_pt143,36.71,0.11,20.5,0,4.76,24.44,0.64,5.72,6.61,Garnet
Sample2_pt144,37.01,0.11,20.47,0,5.22,24.26,0.63,6.06,6.62,Garnet
Sample2_pt145,37.3,0.06,20.36,0.06,4.5,24.82,0.57,6.01,6.68,Garnet
Sample2_pt146,37.04,0.1,20.58,0.04,5,24.62,0.59,5.95,6.64,Garnet
Sample2_pt147,36.55,0.06,20.34,0.42,4.48,24.45,0.58,5.72,6.6,Garnet
Sample2_pt148,37.55,0.05,20.75,0,4.49,24.91,0.57,5.93,6.94,Garnet
Sample2_pt149,36.41,0.11,20.26,0.23,5.3,23.99,0.56,5.95,6.62,Garnet
Sample2_pt150,37.43,0.07,21.04,0.02,5.2,24.41,0.64,6.15,6.88,Garnet
Sample2_pt151,37.46,0.06,20.65,0,5.26,24.51,0.61,6.1,6.83,Garnet
Sample2_pt152,37.49,0.06,20.41,0,4.36,25.07,0.5,5.96,6.77,Garnet
Sample2_pt153,34.64,0.13,19.35,5.1,4.2,23.31,0.5,5.43,6.24,Garnet
Sample2_pt154,37.3,0.11,20.45,0,4.07,25.23,0.69,5.87,6.36,Garnet
Sample2_pt155,36.33,0.09,20.48,0,5.83,23.96,0.49,5.82,6.79,Garnet
Sample2_pt156,36.77,0.08,20.72,0.04,4.94,24.66,0.58,5.81,6.58,Garnet
Sample2_pt157,36.84,0.07,20.62,0,5.16,24.31,0.54,5.94,6.74,Garnet
Sample2_pt158,36.83,0.04,20.53,0.07,5.03,24.43,0.56,5.9,6.65,Garnet
Sample2_pt159,37.19,0.18,20.79,0.03,4.46,24.88,0.63,5.95,6.57,Garnet
Sample2_pt160,37.67,0.06,20.35,0.05,3.76,25.41,0.57,5.9,6.7,Garnet
Sample2_pt161,37.45,0,20.96,0.07,4.53,24.91,0.61,6.07,6.53,Garnet
Sample2_pt162,36.95,0,20.34,1.03,4.39,24.57,0.64,5.86,6.59,Garnet
Sample2_pt163,37.49,0.03,20.75,0.02,4.61,24.74,0.59,6.02,6.7,Garnet
Sample2_pt164,37.51,0.08,20.81,0.05,4.02,24.99,0.59,6.07,6.62,Garnet
Sample2_pt165,37.09,0.06,20.72,0,4.25,24.95,0.6,5.89,6.5,Garnet
Sample2_pt166,36.96,0.03,20.87,0.02,5.33,24.44,0.56,5.87,6.83,Garnet
Sample2_pt167,37.11,0.05,20.95,0.02,4.19,24.92,0.53,5.92,6.55,Garnet
Sample2_pt168,37.4,0.04,20.55,0.05,3.83,25.26,0.61,5.78,6.69,Garnet
Sample2_pt169,37.51,0.07,20.57,0,4.31,25.15,0.55,5.93,6.64,Garnet
Sample2_pt170,37.33,0,20.75,0.03,4.52,24.82,0.59,5.93,6.64,Garnet
Sample2_pt171,37.16,0.03,20.73,0.02,4.98,25.11,0.52,5.81,6.62,Garnet
Sample2_pt172,37.23,0.11,20.84,0,4.99,24.33,0.53,6.12,6.89,Garnet
Sample2_pt173,37.27,0,21.03,0.04,4.88,24.6,0.58,6.1,6.62,Garnet
Sample2_pt174,37.52,0.04,20.79,0.03,3.89,25.09,0.57,5.99,6.68,Garnet
Sample2_pt175,36.94,0,20.95,0.04,4.89,24.43,0.6,5.94,6.6,Garnet
Sample2_pt176,37.26,0.07,20.89,0,4.65,24.6,0.56,6.08,6.72,Garnet
Sample2_pt177,37.21,0.04,20.75,0.02,5.1,24.32,0.52,6.18,6.66,Garnet
Sample2_pt178,37.16,0.07,20.87,0.02,4.46,24.78,0.51,5.98,6.56,Garnet
Sample2_pt179,37.07,0.04,20.83,0.18,4.52,24.83,0.54,6.01,6.44,Garnet
Sample2_pt180,37.11,0,20.69,0.06,5.38,23.91,0.64,6.13,6.8,Garnet
Sample2_pt181,37.2,0.06,20.86,0,5.29,24.62,0.67,5.92,6.63,Garnet
Sample2_pt182,37.38,0.11,20.91,0.07,4.13,25.01,0.53,5.94,6.69,Garnet
Sample2_pt183,37.14,0.04,20.77,0.02,4.99,24.54,0.57,5.96,6.78,Garnet
Sample2_pt184,37.21,0,21.1,0.04,4.23,24.75,0.54,5.99,6.65,Garnet
