PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt215,38.23,0.08,21.68,0,24.28,0.57,7.05,7.2,Garnet
Sample1_pt216,38.46,0.03,21.57,0.06,24.09,0.58,7.17,7.12,Garnet
Sample1_pt217,38.58,0.06,21.6,0,23.91,0.54,7.14,7.3,Garnet
Sample1_pt218,38.55,0.08,21.69,0.02,23.89,0.65,7.32,7.04,Garnet
Sample1_pt219,38.37,0.03,21.47,0.05,23.79,0.6,7.19,7.3,Garnet
Sample1_pt220,38.44,0.06,21.69,0.05,23.57,0.54,7.05,7.38,Garnet
Sample1_pt221,38.14,0.02,21.71,0.04,23.75,0.57,7.1,7.24,Garnet
Sample1_pt222,38.4,0.06,21.89,0.02,23.49,0.59,7.14,7.27,Garnet
Sample1_pt223,38.28,0.03,21.71,0.04,23.91,0.57,7.46,7.09,Garnet
Sample1_pt224,38.35,0.03,21.4,0.05,24.01,0.57,7.16,7.02,Garnet
Sample1_pt225,38.68,0.02,21.33,0.03,23.56,0.55,7.17,7.27,Garnet
Sample1_pt226,38.44,0.05,21.85,0.02,24.12,0.59,7.09,7.22,Garnet
Sample1_pt227,38.36,0.07,21.65,0.07,23.88,0.63,7.24,7.27,Garnet
Sample1_pt228,38.21,0,21.76,0.1,23.43,0.6,7.17,7.24,Garnet
Sample1_pt229,37.98,0.04,21.32,0.01,23.6,0.57,7.42,7.31,Garnet
Sample1_pt230,38.82,0,21.71,0.02,23.47,0.58,7.21,7.33,Garnet
Sample1_pt231,38.43,0.02,21.49,0.02,23.64,0.66,7.15,7.56,Garnet
Sample1_pt232,38.57,0.07,21.65,0.03,23.48,0.59,7.25,7.4,Garnet
Sample1_pt233,38.1,0.07,21.38,0.02,23.74,0.64,7.05,7.31,Garnet
Sample1_pt234,38.22,0.04,21.64,0.01,23.81,0.6,6.86,7.26,Garnet
Sample1_pt235,38.33,0.08,21.37,0,23.6,0.61,7.04,7.2,Garnet
Sample1_pt236,38.61,0.04,21.66,0.02,23.7,0.62,7.24,7.28,Garnet
Sample1_pt237,38.84,0.04,21.64,0,23.27,0.55,7.4,7.39,Garnet
Sample1_pt238,38.61,0.06,21.95,0.01,23.5,0.58,7.22,7.13,Garnet
Sample1_pt239,38.28,0.02,21.46,0.04,23.07,0.6,7.28,7.25,Garnet
Sample1_pt240,38.08,0.07,21.73,0.07,23.24,0.54,7.03,7.73,Garnet
Sample1_pt241,38.75,0.01,21.43,0.02,23,0.56,7.19,7.38,Garnet
Sample1_pt242,38.22,0.13,21.68,0.03,23.02,0.64,7.23,7.51,Garnet
Sample1_pt243,38.76,0.11,21.48,0.07,23.22,0.52,7.31,7.6,Garnet
Sample1_pt244,38.33,0.13,21.57,0.03,23.35,0.57,7.07,7.6,Garnet
Sample1_pt245,38.61,0.04,21.82,0,23.21,0.6,7.31,7.82,Garnet
Sample1_pt246,38.16,0.18,21.86,0.02,22.86,0.56,7.26,7.45,Garnet
Sample1_pt247,38.85,0.08,21.44,0.05,22.84,0.51,7.37,7.5,Garnet
Sample1_pt248,39.05,0.08,21.67,0.06,22.78,0.52,7.15,7.67,Garnet
Sample1_pt249,38.56,0.06,21.61,0,23.18,0.56,7.24,7.79,Garnet
Sample1_pt250,38.74,0.14,21.41,0.04,23.18,0.57,7.17,7.52,Garnet
Sample1_pt251,38.49,0.04,21.56,0,22.83,0.64,7.37,7.87,Garnet
Sample1_pt252,38.59,0.06,21.71,0.03,22.96,0.62,7.21,7.78,Garnet
Sample1_pt253,38.62,0.1,21.45,0.04,23.2,0.56,7.23,8.08,Garnet
Sample1_pt254,38.61,0.05,21.68,0.05,23.09,0.62,7.21,8.01,Garnet
Sample1_pt255,39.02,0.04,21.58,0.06,22.98,0.56,7.19,7.88,Garnet
Sample1_pt256,38.75,0.03,21.55,0,23.02,0.59,7.23,8.12,Garnet
Sample1_pt257,38.41,0.03,21.36,0,22.95,0.58,6.97,7.75,Garnet
Sample1_pt258,38.62,0.11,21.41,0.06,22.82,0.59,7.1,7.9,Garnet
Sample1_pt259,38.74,0.11,21.64,0.01,22.98,0.55,7.12,8.26,Garnet
Sample1_pt260,38.55,0.1,22.33,0.02,23.06,0.63,7.14,7.86,Garnet
Sample1_pt261,38.94,0.07,21.46,0.03,22.66,0.62,7.1,8.1,Garnet
Sample1_pt262,38.68,0.05,21.56,0,23.33,0.54,7.09,7.94,Garnet
Sample1_pt263,38.97,0.05,21.68,0,22.93,0.61,7.19,7.97,Garnet
Sample1_pt264,38.96,0.02,21.59,0.03,22.96,0.6,7.2,8.07,Garnet
Sample1_pt265,38.64,0.08,21.75,0.01,22.53,0.63,7.15,8.07,Garnet
Sample1_pt266,38.99,0.05,21.75,0,22.64,0.58,6.87,8.21,Garnet
Sample1_pt267,39.2,0.09,21.5,0.02,23.14,0.65,6.88,7.94,Garnet
Sample1_pt268,38.99,0.1,21.45,0.09,22.69,0.58,7.03,8.02,Garnet
Sample1_pt269,38.99,0.15,21.54,0.06,22.62,0.55,6.82,8.06,Garnet
Sample1_pt270,38.99,0.18,21.74,0.03,23.19,0.59,7.11,8.13,Garnet
Sample1_pt271,38.75,0.09,21.54,0.07,23.08,0.65,6.9,8.24,Garnet
Sample1_pt272,38.45,0.23,21.52,0.03,23.38,0.62,6.78,8.09,Garnet
Sample1_pt273,38.81,0.07,21.54,0.01,23.49,0.68,6.78,8.05,Garnet
Sample1_pt274,38.68,0.04,21.5,0.05,23.97,0.64,6.86,7.53,Garnet
Sample1_pt275,39.29,0.08,21.66,0.07,23.62,0.6,7.14,7.71,Garnet
Sample1_pt276,38.43,0.12,21.58,0.04,23.3,0.56,6.72,7.9,Garnet
Sample1_pt277,38.36,0.08,21.12,0,23.29,0.63,6.57,8.11,Garnet
Sample1_pt278,39.46,0.05,21.87,0.07,23.03,0.62,6.61,8.53,Garnet
Sample1_pt279,39.39,0.09,21.64,0.02,23.21,0.55,6.8,8.2,Garnet
Sample1_pt280,38.75,0.12,21.61,0.04,23.7,0.58,6.79,8.01,Garnet
Sample1_pt281,38.71,0.09,21.71,0.04,23.61,0.61,6.9,7.93,Garnet
Sample1_pt282,38.26,0.05,21.11,0.07,23.75,0.58,6.85,7.71,Garnet
Sample1_pt283,38.64,0.14,21.67,0.05,23.47,0.66,6.8,7.77,Garnet
Sample1_pt284,39.01,0.16,21.58,0,23.55,0.61,6.8,7.83,Garnet
Sample1_pt285,39.17,0.12,21.62,0.01,23.71,0.58,6.81,7.61,Garnet
Sample1_pt286,38.97,0.18,21.5,0.04,23.69,0.58,7.04,7.67,Garnet
Sample1_pt287,38.74,0.13,21.86,0.04,23.91,0.67,6.85,7.51,Garnet
Sample1_pt288,38.98,0.2,21.23,0.05,23.66,0.62,6.78,7.59,Garnet
Sample1_pt289,38.94,0.12,21.58,0.06,24.05,0.61,6.76,7.43,Garnet
Sample1_pt290,38.68,0.09,21.44,0.03,23.97,0.57,6.82,7.35,Garnet
Sample1_pt291,38.75,0.13,21.64,0,24.02,0.65,6.68,7.56,Garnet
Sample1_pt292,39.06,0.14,21.55,0.05,24.16,0.57,6.8,7.55,Garnet
Sample1_pt293,38.97,0.14,21.76,0.04,24.44,0.6,6.65,7.29,Garnet
Sample1_pt294,38.89,0.2,21.6,0.05,24.39,0.58,6.51,7.23,Garnet
Sample1_pt295,38.58,0.06,21.82,0.03,24.74,0.53,6.69,7.38,Garnet
Sample1_pt296,38.16,0.06,21.35,0.03,28.78,1.24,3.55,6.76,Garnet
Sample1_pt297,37.97,0.07,21.38,0.03,29.01,1.33,3.46,6.84,Garnet
Sample1_pt298,37.99,0.03,21.33,0.06,28.96,1.28,3.61,6.84,Garnet
Sample1_pt299,38.32,0.07,21.29,0.01,28.78,1.3,3.47,6.79,Garnet
Sample1_pt300,38.2,0.03,21.37,0.04,29.08,1.31,3.48,6.78,Garnet
Sample1_pt301,37.78,0.1,21.36,0.01,29.04,1.69,3.13,6.96,Garnet
Sample1_pt302,38,0.05,21.46,0.1,29.09,1.69,3.17,6.71,Garnet
Sample1_pt303,37.79,0.07,21.04,0,29.12,1.66,3.17,6.62,Garnet
