PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,NiO,CaO,Na2O,K2O,P2O5,Mineral
15698,41.9,0.24,18.83,6.07,6.04,0.25,21.35,0,5.17,0.01,0,0,Garnet
15699,42.14,0.55,21.94,1.5,7.21,0.2,21.34,0,4.31,0.06,0,0,Garnet
15700,42.49,0.18,21.09,3.32,6.53,0.19,21.69,0,4.7,0,0,0,Garnet
15701,42.7,0.05,20.81,4.23,6.62,0.31,21.25,0,4.83,0,0,0,Garnet
15702,42.37,0.28,19.86,4.88,6.11,0.25,21.82,0,5.15,0.03,0,0,Garnet
15703,42.59,0.68,22.49,0.16,11.33,0.18,19.96,0,3.99,0.16,0,0,Garnet
15704,42.02,0.9,22.23,0.16,10.3,0.2,20.12,0,4.32,0.14,0,0,Garnet
15705,42.42,0.25,18.56,6.27,6.09,0.22,21.09,0,5.25,0.03,0,0,Garnet
15706,42.15,0.38,19.22,5.76,6.13,0.21,21.39,0,5.22,0.16,0,0,Garnet
15707,42.36,0.11,20.44,4.36,6.73,0.27,21.23,0,4.92,0,0,0,Garnet
15708,42.8,0.34,21.48,2.87,7.15,0.31,20.9,0,4.71,0,0,0,Garnet
15709,41.29,0.57,22.44,0.03,14.67,0.31,15.24,0,5.92,0.19,0,0,Garnet
15710,42.52,0.5,20.25,3.18,6.48,0.21,21.69,0,4.57,0.05,0,0,Garnet
15711,43.01,0.42,21.3,3.17,6.19,0.21,22.14,0,4.49,0.03,0,0,Garnet
15712,41.94,0.13,19.57,4.94,6.84,0.26,21.24,0,5.09,0,0,0,Garnet
15713,42.17,0.77,21.69,0.5,11.38,0.19,19.14,0,5.25,0.06,0,0,Garnet
15714,41.61,0.11,18.88,5.98,6.47,0.21,20.44,0,5.86,0,0,0,Garnet
15715,42.72,0.11,21.18,3.26,6.58,0.21,21.52,0,4.66,0,0,0,Garnet
15716,42.49,0.51,20.99,3.24,6.68,0.25,21.29,0,4.86,0.08,0,0,Garnet
15717,42.21,0.55,21.23,2.84,7.23,0.3,21.25,0,4.4,0.09,0,0,Garnet
15718,41.37,0.58,22.34,0.03,14.46,0.25,17.09,0,4.01,0.18,0,0,Garnet
15719,42.29,0.72,22.58,0.26,9.73,0.23,19.97,0,3.85,0.1,0,0,Garnet
15720,42.8,0.05,20.91,3.77,6.63,0.2,21.43,0,4.86,0,0,0,Garnet
15721,41.95,0.54,21.35,2.73,6.6,0.24,21.47,0,4.65,0.08,0,0,Garnet
15722,41.98,0.2,19.8,5.13,6.99,0.29,20.74,0,5.2,0.04,0,0,Garnet
15723,42.63,1.29,21.66,0.29,8.98,0.12,20.82,0,4.58,0.1,0,0,Garnet
15724,42.31,0.65,22.86,0.03,12.24,0.21,18.88,0,3.65,0.13,0,0,Garnet
15725,41.85,0.06,20.71,4.32,6.76,0.23,21.44,0,4.85,0.01,0,0,Garnet
15726,42.57,0.78,22.73,0.13,10.43,0.17,20.13,0,4,0.18,0,0,Garnet
15727,42.69,0.96,21.37,1.03,8.32,0.14,21.71,0,4.49,0.11,0,0,Garnet
15728,42.72,0.21,20.06,4.64,6.21,0.22,21.99,0,4.57,0.01,0,0,Garnet
15729,42.78,0.51,21.98,1.95,7.55,0.23,21.61,0,4.4,0.07,0,0,Garnet
15730,42.1,0.29,19.32,5.52,6.46,0.22,21.25,0,4.74,0.04,0,0,Garnet
15731,42.62,0.77,21.98,0.34,10.04,0.16,20.6,0,3.98,0.18,0,0,Garnet
15732,42.12,0.26,20.32,4.28,6.62,0.24,20.88,0,4.96,0.04,0,0,Garnet
15733,41.68,0.23,18.37,7.3,6.4,0.23,20.8,0,5.49,0.02,0,0,Garnet
15734,42.36,0.52,20.71,3.63,7.07,0.19,22.04,0,4.4,0.03,0,0,Garnet
15735,42.39,0.81,22.78,0.07,10.41,0.16,20.17,0,3.98,0.12,0,0,Garnet
15736,42.69,0.49,21.79,1.95,7.52,0.26,21.45,0,4.5,0.02,0,0,Garnet
15737,42.82,0.52,20.56,3.85,6.68,0.24,21,0,4.81,0.05,0,0,Garnet
15738,42.47,0.4,20.37,3.6,6.94,0.25,20.85,0,4.81,0.08,0,0,Garnet
15739,42.01,0.86,22.58,0.1,10.41,0.23,19.94,0,4.03,0.15,0,0,Garnet
15740,42.79,0.5,22.56,1.2,6.42,0.2,22.35,0,4.11,0.1,0,0,Garnet
15741,41.37,0.55,18.64,6.21,6.26,0.25,20.06,0,5.71,0.05,0,0,Garnet
