PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt246,37.95,0.05,21.18,29.45,0.28,8.34,1.04,Garnet
Sample1_pt247,39.1,0,22.13,29.46,0.29,8.74,1.04,Garnet
Sample1_pt248,39.15,0.04,21.52,28.73,0.31,8.28,1.01,Garnet
Sample1_pt249,38.36,0,21.88,29.87,0.3,8.7,1.07,Garnet
Sample1_pt250,38.53,0.02,21.63,29.37,0.29,8.52,1.16,Garnet
Sample1_pt251,38.55,0,21.99,29.38,0.3,8.78,1.09,Garnet
Sample1_pt252,38.19,0,21.3,29.69,0.21,8.4,1.08,Garnet
Sample1_pt253,38.32,0.01,21.74,29.25,0.31,8.65,1.1,Garnet
Sample1_pt254,37.9,0.03,21.82,29.34,0.25,8.51,1.13,Garnet
Sample1_pt255,38.34,0.02,21.85,29.58,0.31,8.56,1.06,Garnet
Sample1_pt256,38.09,0.01,21.55,29.6,0.29,8.49,1.09,Garnet
Sample1_pt257,38.57,0.04,21.73,29.48,0.25,8.53,1.16,Garnet
Sample1_pt258,38.48,0,21.56,29.5,0.27,8.47,1.09,Garnet
Sample1_pt259,38.18,0.03,21.52,29.06,0.25,8.36,1.08,Garnet
Sample1_pt260,38.25,0.01,21.79,29.37,0.28,8.46,1.08,Garnet
Sample1_pt261,38.26,0,21.8,29.73,0.23,8.4,0.98,Garnet
Sample1_pt262,38.33,0.03,21.65,29.54,0.29,8.52,1.03,Garnet
Sample1_pt263,39.93,0.07,22.17,28.72,0.27,8.49,1.12,Garnet
Sample1_pt264,38.19,0,21.81,29.64,0.31,8.66,1.03,Garnet
Sample1_pt265,39.57,0.05,21.12,29.54,0.3,8.47,1.11,Garnet
Sample1_pt266,38.38,0.01,21.52,29.56,0.21,8.5,1.06,Garnet
Sample1_pt267,37.78,0.05,21.4,29.47,0.29,8.38,0.96,Garnet
Sample1_pt268,38.49,0.06,21.79,29.43,0.28,8.59,1.05,Garnet
Sample1_pt269,37.85,0,21.6,29.7,0.32,8.4,1.09,Garnet
Sample1_pt270,38.15,0,21.66,29.63,0.29,8.5,1.12,Garnet
Sample1_pt271,38.23,0,21.75,29.16,0.3,8.52,1.1,Garnet
Sample1_pt272,37.96,0,21.46,29.5,0.29,8.47,0.98,Garnet
Sample1_pt273,38.69,0.02,21.77,29.49,0.31,8.7,1.18,Garnet
Sample1_pt274,38.22,0,21.69,29.21,0.33,8.47,1.07,Garnet
Sample1_pt275,38.21,0,21.79,29.87,0.3,8.53,1.02,Garnet
Sample1_pt276,38.45,0,21.71,30.06,0.31,8.59,1.11,Garnet
Sample1_pt277,38.42,0.02,21.58,29.44,0.3,8.52,1.06,Garnet
Sample1_pt278,38.57,0,21.59,29.31,0.34,8.43,1.05,Garnet
Sample1_pt279,38.16,0.02,21.53,29.52,0.31,8.45,1.11,Garnet
Sample1_pt280,38.73,0,21.96,29.79,0.3,8.59,1.05,Garnet
Sample1_pt281,38.42,0,21.68,29.75,0.27,8.54,1.03,Garnet
Sample1_pt282,38.64,0.01,21.84,29.4,0.26,8.49,1.06,Garnet
Sample1_pt283,38.58,0.04,21.75,29.69,0.25,8.53,1.14,Garnet
Sample1_pt284,38.25,0,21.54,29.3,0.31,8.49,1.09,Garnet
Sample1_pt285,38.31,0.03,21.6,30.09,0.31,8.59,1.03,Garnet
Sample1_pt286,38.71,0.06,21.88,29.64,0.25,8.82,1.1,Garnet
Sample1_pt287,38.7,0,21.98,29.77,0.34,8.73,1.02,Garnet
Sample1_pt288,38.51,0,22.01,29.71,0.32,8.63,1.04,Garnet
Sample1_pt289,38.6,0.03,21.8,30,0.27,8.47,1.12,Garnet
Sample1_pt290,38.43,0,21.89,29.61,0.25,8.63,1.07,Garnet
Sample1_pt291,38.69,0,21.68,29.71,0.33,8.63,1.06,Garnet
Sample1_pt292,38.5,0.02,21.91,29.91,0.24,8.6,1.08,Garnet
Sample1_pt293,38.34,0,21.91,30.02,0.29,8.52,1.03,Garnet
Sample1_pt294,38.31,0.02,21.92,29.81,0.27,8.53,1.13,Garnet
Sample1_pt295,38.03,0,22.05,29.61,0.29,8.55,1.05,Garnet
Sample1_pt296,38.61,0.02,21.69,29.87,0.26,8.52,1.13,Garnet
Sample1_pt297,38.28,0.07,21.65,29.85,0.25,8.54,1.05,Garnet
