PointID,Al2O3,BaO,CO2,CaO,Cr2O3,Fe2O3,FeO,K2O,MgO,MnO,Na2O,NiO,P2O5,SO3,SiO2,SrO,TiO2,F,Cl,Mineral
P13839,32.5,0,0,2.16,0,0,2.45,0.18,9.9,0,1.54,0,0,0,36.83,0,0.59,0,0,Tourmaline
P13840,33.49,0,0,0.98,0,0,4.22,0.03,7.71,0.01,1.78,0,0,0,36.9,0,0.65,0,0,Tourmaline
P13841,34.07,0,0,0.59,0,0,4.69,0.03,7.4,0,2.07,0,0,0,37.31,0,0.57,0,0,Tourmaline
P13842,33.93,0,0,0.73,0,0,4.57,0.05,7.76,0.02,1.95,0,0,0,37.1,0,0.61,0,0,Tourmaline
P13843,35.52,0,0,0.88,0,0,5.22,0.02,6.53,0,1.36,0,0,0,36.45,0,0.55,0,0,Tourmaline
P13844,32.68,0,0,0.13,0,0,5.59,0.04,7.08,0.01,2.54,0,0,0,36.88,0,0.58,0,0,Tourmaline
P13845,32.3,0,0,0.13,0,0,5.66,0.02,7.16,0,2.34,0,0,0,36.56,0,0.59,0,0,Tourmaline
P13846,32.82,0,0,0.14,0,0,5.56,0.03,7.15,0,2.7,0,0,0,36.84,0,0.64,0,0,Tourmaline
P13847,34.39,0,0,0.16,0,0,5.57,0.01,6.26,0.02,2.07,0,0,0,36.76,0,0.75,0,0,Tourmaline
P13848,34.67,0,0,0.14,0,0,5.72,0,5.83,0,1.81,0,0,0,36.73,0,0.65,0,0,Tourmaline
P13849,35.09,0,0,1.6,0,0,5.98,0.09,5.6,0,1.49,0,0,0,33.97,0,1.2,0,0,Tourmaline
P13850,34.59,0,0,1.31,0,0,4.31,0.06,6.67,0,1.35,0,0,0,35.34,0,0.81,0,0,Tourmaline
P13851,35.05,0,0,1.21,0,0,6.35,0.08,5.1,0,1.01,0,0,0,35.52,0,1.06,0,0,Tourmaline
P13852,35.91,0,0,1.14,0,0,6.46,0.07,5.12,0,1.07,0,0,0,36.09,0,0.65,0,0,Tourmaline
P13853,33.35,0,0,0.25,0,0,6.67,0.01,6.15,0,1.86,0,0,0,36.79,0,1.03,0,0,Tourmaline
P13854,31.55,0,0,0.18,0,0,4.87,0.02,8.55,0,2.47,0,0,0,37.4,0,0.46,0,0,Tourmaline
P13855,34.1,0,0,1.33,0,0,5.62,0.01,6.4,0,1.34,0,0,0,35.18,0,0.98,0,0,Tourmaline
P13856,31.17,0,0,0.97,0,0,9.19,0.19,5,0.01,2.27,0,0,0,35.58,0,1.18,0,0,Tourmaline
P13857,31.17,0,0,1.05,0,0,9.73,0.1,5.12,0.04,2.19,0,0,0,35.47,0,1.22,0,0,Tourmaline
P13858,31.47,0,0,0.92,0,0,8.42,0.15,5.71,0,2.26,0,0,0,35.58,0,1.1,0,0,Tourmaline
P13859,31.34,0,0,0.91,0,0,9.41,0.06,4.86,0.02,2.31,0,0,0,35.47,0,1.1,0,0,Tourmaline
P13860,31.08,0,0,1.03,0,0,9.95,0.06,5.04,0.03,2.12,0,0,0,35.33,0,1.16,0,0,Tourmaline
P13861,31.24,0,0,1.03,0,0,9.52,0.08,5.23,0,1.94,0,0,0,35.27,0,1.29,0,0,Tourmaline
P13862,31.29,0,0,1.01,0,0,9.6,0.06,5.24,0.04,2.12,0,0,0,35.31,0,1.27,0,0,Tourmaline
P13863,29.8,0,0,0.84,0,0,11.06,0.15,4.75,0.06,2.2,0,0,0,35.69,0,0.87,0,0,Tourmaline
P13864,32.31,0,0,0.4,0,0,10.07,0.24,3.7,0.01,2.54,0,0,0,35.73,0,0.61,0,0,Tourmaline
P13865,29.65,0,0,0.94,0,0,10.62,0.04,5.4,0.06,2.24,0,0,0,36.06,0,0.61,0,0,Tourmaline
P13866,31.79,0,0,0.39,0,0,10.19,0.12,4.02,0,2.49,0,0,0,35.85,0,0.45,0,0,Tourmaline
P13867,32.68,0,0,0.31,0,0,9.06,0.1,3.73,0.01,2.68,0,0,0,35.37,0,0.91,0,0,Tourmaline
P13868,32.4,0,0,0.3,0,0,10.13,0.21,3.78,0.03,2.51,0,0,0,35.41,0,0.75,0,0,Tourmaline
P13869,32.35,0,0,0.26,0,0,10.32,0.12,3.89,0.01,2.77,0,0,0,35.63,0,0.79,0,0,Tourmaline
P13870,32.34,0,0,0.29,0,0,10.08,0.05,3.8,0,2.79,0,0,0,35.55,0,0.82,0,0,Tourmaline
P13871,31.57,0,0,0.3,0,0,8.6,0.21,5.52,0.01,2.65,0,0,0,35.77,0,0.94,0,0,Tourmaline
P13872,31.94,0,0,0.26,0,0,10.8,0.05,4.06,0,2.68,0,0,0,35.61,0,0.89,0,0,Tourmaline
P13873,32.54,0,0,0.25,0,0,10.33,0.02,3.05,0.01,2.78,0,0,0,35.43,0,0.81,0,0,Tourmaline
P13874,31.74,0,0,0.26,0,0,10.61,0.08,3.51,0.04,2.76,0,0,0,35.26,0,0.81,0,0,Tourmaline
P13875,32.06,0,0,0.25,0,0,11.43,0.1,3.17,0.02,2.6,0,0,0,34.88,0,0.8,0,0,Tourmaline
P13876,32.3,0,0,0.18,0,0,11.01,0.06,3.31,0.03,2.64,0,0,0,35.37,0,0.71,0,0,Tourmaline
P13877,32,0,0,0.34,0,0,8.37,0.17,5.7,0.03,2.64,0,0,0,35.43,0,0.71,0,0,Tourmaline
P13878,32.37,0,0,0.31,0,0,10.24,0.18,3.56,0.02,2.79,0,0,0,35.69,0,0.84,0,0,Tourmaline
P13879,32.03,0,0,0.27,0,0,10.93,0.2,3.33,0.02,2.53,0,0,0,35.66,0,0.8,0,0,Tourmaline
P13880,30.58,0,0,0.31,0,0,13.17,0.15,2.83,0.14,2.59,0,0,0,35.38,0,0.52,0,0,Tourmaline
P13881,29.43,0,0,0.37,0,0,14.32,0.22,3.15,0.06,2.5,0,0,0,35.48,0,0.64,0,0,Tourmaline
P13882,29.22,0,0,0.38,0,0,14.18,0.28,3.07,0.08,2.63,0,0,0,35.59,0,0.62,0,0,Tourmaline
P13883,30.31,0,0,0.35,0,0,11.83,0.13,3.82,0.16,2.62,0,0,0,35.84,0,0.45,0,0,Tourmaline
P13884,30.72,0,0,0.3,0,0,12.52,0.13,3.04,0.17,2.54,0,0,0,35.56,0,0.44,0,0,Tourmaline
P13885,30.75,0,0,0.31,0,0,12.73,0.12,3.19,0.14,2.56,0,0,0,35.61,0,0.49,0,0,Tourmaline
P13886,28.97,0,0,0.87,0,0,12.61,0.06,4.63,0.06,2.16,0,0,0,35.43,0,0.57,0,0,Tourmaline
P13887,28.81,0,0,0.38,0,0,15.21,0.18,3.07,0.11,2.51,0,0,0,35.52,0,0.94,0,0,Tourmaline
P13888,30.31,0,0,0.28,0,0,15.03,0.12,2.8,0.14,2.71,0,0,0,35.35,0,0.56,0,0,Tourmaline
P13889,30.43,0,0,0.33,0,0,15.3,0.12,2.81,0.17,2.38,0,0,0,35.49,0,0.5,0,0,Tourmaline
P13890,30.83,0,0,0.34,0,0,12.72,0.1,2.7,0.15,2.37,0,0,0,35.5,0,0.57,0,0,Tourmaline
P13891,30.52,0,0,0.31,0,0,12.92,0.13,2.99,0.14,2.55,0,0,0,35.32,0,0.71,0,0,Tourmaline
P13892,28.9,0,0,0.5,0,0,12.72,0.13,3.82,0.04,2.53,0,0,0,35.57,0,0.97,0,0,Tourmaline
P13893,28.33,0,0,0.36,0,0,15.49,0.37,2.76,0.05,2.39,0,0,0,35.22,0,0.74,0,0,Tourmaline
P13894,29.22,0,0,1.03,0,0,11.36,0.07,5.1,0.02,2.09,0,0,0,35.63,0,0.74,0,0,Tourmaline
P13895,29.31,0,0,0.86,0,0,11.47,0.06,5.38,0.03,2.21,0,0,0,35.81,0,0.45,0,0,Tourmaline
P13896,30.22,0,0,0.27,0,0,13.45,0.16,2.93,0.13,2.66,0,0,0,35.42,0,0.49,0,0,Tourmaline
P13897,29.12,0,0,0.34,0,0,14.17,0.29,3.15,0.11,2.55,0,0,0,35.03,0,0.82,0,0,Tourmaline
P13898,28.26,0,0,0.8,0,0,16.42,0.07,2.11,0.13,2.26,0,0,0,34.62,0,0.26,0,0,Tourmaline
P13899,28.7,0,0,0.67,0,0,16.61,0.08,2.12,0.13,2.31,0,0,0,35.28,0,0.2,0,0,Tourmaline
P13900,28.92,0,0,0.63,0,0,16.39,0.07,2.32,0.08,2.26,0,0,0,34.69,0,0.34,0,0,Tourmaline
P13901,30.05,0,0,0.51,0,0,14.7,0.06,2.18,0.08,2.42,0,0,0,34.87,0,0.48,0,0,Tourmaline
P13902,29.65,0,0,0.63,0,0,14.14,0.09,2.84,0.11,2.31,0,0,0,34.73,0,0.5,0,0,Tourmaline
P13903,29.53,0,0,0.51,0,0,15.04,0.1,1.89,0.08,2.43,0,0,0,34.93,0,0.29,0,0,Tourmaline
P13904,29.06,0,0,0.54,0,0,16.62,0.07,2.32,0.07,2.42,0,0,0,35.11,0,0.33,0,0,Tourmaline
P13905,29.73,0,0,0.47,0,0,15.41,0.05,2.17,0.12,2.33,0,0,0,34.86,0,0.44,0,0,Tourmaline
P13906,29.83,0,0,0.54,0,0,16.7,0.08,1.71,0.09,2.3,0,0,0,34.64,0,0.25,0,0,Tourmaline
P13907,29.67,0,0,0.54,0,0,14.4,0.06,2.29,0.1,2.25,0,0,0,34.65,0,0.63,0,0,Tourmaline
P13908,28.94,0,0,0.6,0,0,15.4,0.1,2.55,0.03,2.5,0,0,0,34.79,0,0.44,0,0,Tourmaline
P13909,32.77,0,0,0.24,0,0,0.89,0.06,11.36,0.01,2.89,0,0,0,37.48,0,0.29,0,0,Tourmaline
P13910,32.6,0,0,0.38,0,0,1.06,0.06,11.15,0,2.65,0,0,0,37.18,0,0.26,0,0,Tourmaline
P13911,32.22,0,0,0.21,0,0,0.89,0.06,11.36,0.02,2.92,0,0,0,37.57,0,0.3,0,0,Tourmaline
P13912,31.95,0,0,0.3,0,0,0.77,0.06,11.83,0.01,2.78,0,0,0,37.58,0,0.28,0,0,Tourmaline
P13913,32.25,0,0,0.72,0,0,0.74,0.1,11.34,0,2.59,0,0,0,36.78,0,0.61,0,0,Tourmaline
P13914,32.63,0,0,0.14,0,0,1.63,0.07,10.93,0,2.98,0,0,0,37.26,0,0.1,0,0,Tourmaline
P13915,33.35,0,0,0.31,0,0,1.05,0.06,11.18,0,2.91,0,0,0,37.39,0,0.18,0,0,Tourmaline
P13916,32.43,0,0,0.21,0,0,2.16,0.06,10.46,0.02,2.85,0,0,0,37.44,0,0.12,0,0,Tourmaline
P13917,32.91,0,0,0.43,0,0,1.4,0.06,10.99,0.02,2.76,0,0,0,37.11,0,0.21,0,0,Tourmaline
P13918,32.64,0,0,0.23,0,0,0.9,0.04,11.46,0,2.99,0,0,0,37.61,0,0.26,0,0,Tourmaline
P13919,32.34,0,0,0.24,0,0,0.74,0.06,11.61,0.01,2.83,0,0,0,37.89,0,0.23,0,0,Tourmaline
P13920,31.89,0,0,0.26,0,0,0.76,0.04,11.77,0.01,2.95,0,0,0,38.04,0,0.26,0,0,Tourmaline
P13921,35.48,0,0,0.23,0,0,0.42,0.01,9.08,0.01,1.6,0,0,0,37.69,0,0.09,0,0,Tourmaline
P13922,35.44,0,0,0.24,0,0,0.33,0.03,9.42,0,1.66,0,0,0,38.06,0,0.13,0,0,Tourmaline
P13923,35.75,0,0,0.15,0,0,0.37,0.03,9.24,0.01,1.61,0,0,0,37.75,0,0.04,0,0,Tourmaline
P13924,36.24,0,0,0.06,0,0,0.35,0,9.13,0.01,1.1,0,0,0,38.36,0,0.05,0,0,Tourmaline
P13925,35.49,0,0,0.14,0,0,0.37,0.02,9.14,0,1.45,0,0,0,38.19,0,0.08,0,0,Tourmaline
P13926,35.43,0,0,0.17,0,0,0.35,0.01,9.14,0,1.58,0,0,0,38.2,0,0.09,0,0,Tourmaline
P13927,35.42,0,0,0.41,0,0,0.42,0,9.93,0,1.66,0,0,0,37.97,0,0.12,0,0,Tourmaline
P13928,31.7,0,0,0.4,0,0,0.86,0.11,11.82,0.01,2.65,0,0,0,37.68,0,0.28,0,0,Tourmaline
P13929,31.45,0,0,0.51,0,0,1.06,0.09,11.8,0,2.81,0,0,0,37.85,0,0.27,0,0,Tourmaline
P13930,33.02,0,0,0.37,0,0,0.84,0.02,10.77,0,2.54,0,0,0,37.56,0,0.28,0,0,Tourmaline
P13931,33.73,0,0,0.38,0,0,0.77,0.03,10.55,0.06,2.38,0,0,0,37.65,0,0.17,0,0,Tourmaline
P13932,32.78,0,0,0.36,0,0,0.73,0.05,10.66,0,2.15,0,0,0,38.26,0,0.25,0,0,Tourmaline
P13933,32.84,0,0,0.34,0,0,0.84,0.17,10.73,0,2.09,0,0,0,38.22,0,0.28,0,0,Tourmaline
P13934,33.31,0,0,0.16,0,0,0.79,0.01,10.67,0.01,2,0,0,0,38.02,0,0.08,0,0,Tourmaline
P13935,33.46,0,0,0.36,0,0,0.83,0.03,10.65,0,2.41,0,0,0,37.57,0,0.27,0,0,Tourmaline
P13936,33.24,0,0,0.38,0,0,0.84,0.04,10.68,0,2.39,0,0,0,37.83,0,0.25,0,0,Tourmaline
P13937,33.32,0,0,0.38,0,0,0.8,0.01,10.66,0.02,2.26,0,0,0,37.73,0,0.19,0,0,Tourmaline
P13938,31.38,0,0,0.69,0,0,1.45,0,11.33,0.02,2.61,0,0,0,37.08,0,0.47,0,0,Tourmaline
P13939,31.29,0,0,0.78,0,0,1.45,0.03,11.32,0,2.44,0,0,0,37.71,0,0.58,0,0,Tourmaline
P13940,31.33,0,0,0.59,0,0,1.67,0.02,11.18,0.01,2.59,0,0,0,37.66,0,0.45,0,0,Tourmaline
P13941,31.57,0,0,0.38,0,0,1.95,0.03,11.16,0.01,2.68,0,0,0,37.29,0,0.42,0,0,Tourmaline
P13942,31.81,0,0,0.27,0,0,1.88,0.02,10.81,0.02,2.72,0,0,0,37.26,0,0.25,0,0,Tourmaline
P13943,32.17,0,0,0.13,0,0,2.11,0.02,10.62,0,2.4,0,0,0,37.56,0,0.11,0,0,Tourmaline
P13944,31.96,0,0,0.43,0,0,1.43,0.02,11.01,0,2.54,0,0,0,37.31,0,0.37,0,0,Tourmaline
P13945,31.65,0,0,0.44,0,0,1.82,0.01,11,0.01,2.7,0,0,0,37.24,0,0.45,0,0,Tourmaline
P13946,32.18,0,0,0.32,0,0,1.69,0,11.02,0.03,2.73,0,0,0,37.22,0,0.34,0,0,Tourmaline
P13947,31.61,0,0,0.7,0,0,1.37,0.02,11.33,0,2.56,0,0,0,37.29,0,0.44,0,0,Tourmaline
P13948,31.88,0,0,0.38,0,0,1.46,0.04,10.99,0,2.9,0,0,0,37.33,0,0.26,0,0,Tourmaline
P13949,31.96,0,0,0.24,0,0,1.55,0.02,11.21,0,2.68,0,0,0,37.44,0,0.28,0,0,Tourmaline
P13950,31.62,0,0,0.39,0,0,1.35,0.03,11.4,0,2.65,0,0,0,37.44,0,0.26,0,0,Tourmaline
P13951,31.46,0,0,0.4,0,0,0.98,0.02,11.45,0.01,2.48,0,0,0,37.21,0,0.34,0,0,Tourmaline
P13952,31.69,0,0,0.22,0,0,0.88,0.02,11.82,0,2.68,0,0,0,37.33,0,0.16,0,0,Tourmaline
P13953,31.58,0,0,0.25,0,0,0.78,0.01,11.93,0,2.75,0,0,0,37.76,0,0.14,0,0,Tourmaline
P13954,31.74,0,0,0.22,0,0,0.75,0.03,12.04,0.02,2.69,0,0,0,37.89,0,0.15,0,0,Tourmaline
P13955,31.85,0,0,0.22,0,0,0.73,0.03,11.98,0,2.55,0,0,0,37.67,0,0.11,0,0,Tourmaline
P13956,31.6,0,0,0.46,0,0,0.81,0.01,12.02,0.01,2.54,0,0,0,37.44,0,0.38,0,0,Tourmaline
P13957,31.33,0,0,0.41,0,0,0.87,0.04,11.96,0,2.57,0,0,0,37.58,0,0.33,0,0,Tourmaline
P13958,31.32,0,0,0.37,0,0,1.33,0.01,11.59,0.01,2.83,0,0,0,37.82,0,0.26,0,0,Tourmaline
P13959,31.82,0,0,0.55,0,0,0.95,0.02,11.42,0.02,2.43,0,0,0,37.32,0,0.31,0,0,Tourmaline
P13960,31.92,0,0,0.55,0,0,1.23,0.05,11.59,0,2.5,0,0,0,37.51,0,0.4,0,0,Tourmaline
P13961,31.45,0,0,0.63,0,0,0.93,0.02,11.9,0.03,2.7,0,0,0,37.38,0,0.4,0,0,Tourmaline
P13962,31.83,0,0,0.35,0,0,0.64,0.03,12.23,0,2.69,0,0,0,37.28,0,0.17,0,0,Tourmaline
P13963,31.83,0,0,0.21,0,0,1.39,0.01,11.52,0,2.6,0,0,0,37.67,0,0.11,0,0,Tourmaline
P13964,31.18,0,0,0.24,0,0,1.36,0.05,11.63,0.01,2.71,0,0,0,37.35,0,0.23,0,0,Tourmaline
P13965,31.24,0,0,0.39,0,0,0.62,0.03,12.34,0,2.88,0,0,0,37.33,0,0.23,0,0,Tourmaline
P13966,33.22,0,0,0.5,0,0,8.99,0.01,4.52,0.02,1.91,0,0,0,35.09,0,1.01,0,0,Tourmaline
P13967,31.48,0,0,1.11,0,0,4.38,0.05,8.59,0,2.23,0,0,0,36.09,0,0.92,0,0,Tourmaline
P13968,31.23,0,0,1.26,0,0,4.87,0.01,9.09,0,2.04,0,0,0,37.21,0,1.13,0,0,Tourmaline
P13969,31.09,0,0,1.06,0,0,4.74,0.02,8.81,0,2.12,0,0,0,37.21,0,1.04,0,0,Tourmaline
P13970,33.84,0,0,0.4,0,0,4.46,0.01,7.21,0.04,2.09,0,0,0,37.02,0,0.83,0,0,Tourmaline
P13971,33.77,0,0,0.2,0,0,11.56,0.04,2.66,0.12,1.79,0,0,0,34.74,0,0.87,0,0,Tourmaline
P13972,33.55,0,0,0.37,0,0,5.33,0.02,7.17,0.04,2.23,0,0,0,37.06,0,0.68,0,0,Tourmaline
P13973,34.32,0,0,0.52,0,0,6.7,0.03,5.45,0.01,1.71,0,0,0,36.51,0,1.09,0,0,Tourmaline
P13974,30.72,0,0,0.33,0,0,7.92,0,7.2,0.04,2.56,0,0,0,36.97,0,1.07,0,0,Tourmaline
P13975,34.93,0,0,0.49,0,0,5.88,0.02,6.33,0,1.8,0,0,0,37.14,0,0.75,0,0,Tourmaline
P13976,33.55,0,0,0.59,0,0,6.16,0.04,6.29,0.05,2.04,0,0,0,35.86,0,0.86,0,0,Tourmaline
P13977,33.08,0,0,0.75,0,0,8.42,0,5.99,0.07,1.85,0,0,0,36.66,0,0.27,0,0,Tourmaline
