PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Fe2O3,Mineral
Sample1_pt97,37.14,0.05,20.19,29.44,0.9,4.88,6.7,0,Garnet
Sample1_pt98,37.36,0.07,20.24,30.26,0.92,4.7,6.57,0,Garnet
Sample1_pt99,37.67,0.03,20.14,29.74,0.9,4.85,6.51,0,Garnet
Sample1_pt100,37.87,0.02,20.18,29.9,0.93,4.82,6.61,0,Garnet
Sample1_pt101,37.55,0.04,20.05,29.66,0.82,5.11,6.57,0,Garnet
Sample1_pt102,37.88,0.06,20.18,29.48,0.89,4.97,6.63,0,Garnet
Sample1_pt103,37.72,0.04,20.25,29.62,0.86,4.98,6.59,0,Garnet
Sample1_pt104,37.69,0.09,20.23,29.79,0.86,4.84,6.57,0,Garnet
Sample1_pt105,38.17,0.02,20.31,29.87,0.84,4.97,6.56,0,Garnet
Sample1_pt106,37.93,0.05,20.43,29.71,0.92,4.95,6.78,0,Garnet
Sample1_pt107,37.84,0.01,20.49,29.95,0.85,5.06,6.76,0,Garnet
Sample1_pt108,38.25,0.04,20.38,29.88,0.85,4.93,6.67,0,Garnet
Sample1_pt109,38.02,0.04,20.4,29.8,0.9,4.99,6.7,0,Garnet
Sample1_pt110,37.93,0.07,20.48,30.02,0.89,4.95,6.74,0,Garnet
Sample1_pt111,37.22,0.03,20.29,29.86,0.9,4.83,6.66,0,Garnet
Sample1_pt112,38.17,0,20.51,30.35,0.92,4.81,6.8,0,Garnet
Sample1_pt113,38.2,0.04,20.55,30.21,0.89,4.84,6.85,0,Garnet
Sample1_pt114,38.32,0.05,20.62,29.9,0.92,4.92,6.68,0,Garnet
Sample1_pt115,38.15,0,20.6,30.14,0.94,4.94,6.98,0,Garnet
Sample1_pt116,38.4,0.02,20.32,29.95,0.87,4.88,6.81,0,Garnet
Sample1_pt117,38.31,0.07,20.56,30.07,0.88,4.99,6.79,0,Garnet
Sample1_pt118,38.46,0.01,20.53,30.04,0.88,4.96,6.77,0,Garnet
Sample1_pt119,38.1,0.09,20.54,29.98,0.92,4.86,6.77,0,Garnet
Sample1_pt120,38.43,0.05,20.48,30.13,0.87,5.04,6.82,0,Garnet
Sample1_pt121,38.53,0.01,20.66,29.91,0.89,4.99,6.77,0,Garnet
Sample1_pt122,38,0.08,20.58,30.1,0.91,4.93,6.73,0,Garnet
Sample1_pt123,38.4,0.02,20.62,30.02,0.84,4.95,6.75,0,Garnet
Sample1_pt124,38.26,0,20.59,29.88,0.89,4.92,6.7,0,Garnet
Sample1_pt125,38.01,0.05,20.64,29.85,0.93,4.95,6.81,0,Garnet
Sample1_pt126,38.1,0,20.58,30.34,0.92,4.93,6.75,0,Garnet
Sample1_pt127,38.03,0.04,20.38,30.11,0.92,4.9,6.67,0,Garnet
Sample1_pt128,37.94,0.03,20.6,29.96,0.91,4.92,6.61,0,Garnet
Sample1_pt129,38.22,0.06,20.55,30.1,0.94,4.82,6.75,0,Garnet
Sample1_pt130,38.13,0.02,20.53,29.93,0.9,4.83,6.74,0,Garnet
Sample1_pt131,38.05,0.03,20.51,30.26,0.94,4.85,6.73,0,Garnet
Sample1_pt132,38.2,0.04,20.7,30,0.96,4.87,6.75,0,Garnet
Sample1_pt133,38.07,0.01,20.59,30.22,0.93,4.83,6.7,0,Garnet
Sample1_pt134,37.93,0.04,20.55,29.99,0.88,4.84,6.62,0,Garnet
Sample1_pt135,37.99,0.04,20.46,30.33,0.92,4.84,6.67,0,Garnet
Sample1_pt136,37.88,0.05,20.55,30.2,0.98,4.88,6.61,0,Garnet
Sample1_pt137,37.5,0.03,20.42,29.84,0.86,4.77,6.53,0,Garnet
Sample1_pt138,38.07,0.05,20.46,30.22,0.93,4.75,6.64,0,Garnet
Sample1_pt139,37.94,0.03,20.51,29.78,0.93,4.68,6.56,0,Garnet
Sample1_pt140,37.97,0.05,20.48,30.1,0.86,4.7,6.49,0,Garnet
Sample1_pt141,37.69,0,20.4,30.08,0.92,4.8,6.65,0,Garnet
Sample1_pt142,37.9,0,20.46,30.12,0.85,4.72,6.47,0,Garnet
Sample1_pt143,37.81,0.03,20.58,30.4,0.95,4.58,6.61,0,Garnet
Sample1_pt144,37.79,0.01,20.41,29.92,0.98,4.54,6.55,0,Garnet
Sample1_pt145,37.88,0.04,20.38,29.95,0.91,4.71,6.46,0,Garnet
Sample1_pt146,37.58,0.04,20.4,30.14,0.9,4.66,6.62,0,Garnet
Sample1_pt147,37.8,0.04,20.23,30.01,0.99,4.61,6.55,0,Garnet
Sample1_pt148,37.77,0.01,20.33,30.46,0.92,4.49,6.64,0.24,Garnet
Sample1_pt149,37.71,0.05,20.22,30.69,0.95,4.65,6.52,0.24,Garnet
Sample1_pt150,37.67,0.03,20.19,30.69,0.91,4.74,6.64,0.24,Garnet
Sample1_pt151,37.49,0,20.32,30.92,1,4.57,6.6,0.24,Garnet
Sample1_pt152,36.99,0.03,20.19,30.14,0.88,4.93,6.59,0.24,Garnet
Sample1_pt153,37.51,0.02,20.14,30.32,0.93,4.62,6.56,0.24,Garnet
Sample1_pt154,37.49,0.05,20.5,29.87,0.94,4.8,6.45,0.24,Garnet
Sample1_pt155,37.56,0.05,20.47,30.24,0.95,4.6,6.4,0.24,Garnet
Sample1_pt156,37.41,0.02,20.44,29.98,0.92,4.58,6.51,0.24,Garnet
Sample1_pt157,37.46,0,20.72,30.46,0.93,4.6,6.3,0.24,Garnet
Sample1_pt158,37.3,0.03,20.7,27.82,0.9,5.46,7.03,0.24,Garnet
Sample1_pt159,37.11,0.09,20.69,28.01,0.86,5.22,7.47,0.24,Garnet
Sample1_pt160,37.2,0.07,20.23,28.03,0.85,5.16,7.62,0.24,Garnet
Sample1_pt161,37.31,0.03,20.64,27.95,0.88,5.26,7.41,0.24,Garnet
Sample1_pt162,37.5,0.06,20.56,28.08,0.88,5.29,7.35,0.24,Garnet
Sample1_pt163,37.35,0.05,20.57,28.05,0.8,5.31,7.39,0.24,Garnet
Sample1_pt164,37.57,0.03,20.69,28.69,0.89,5.65,7.1,0.24,Garnet
Sample1_pt165,37.37,0.02,20.62,28.18,0.84,5.54,7.07,0.24,Garnet
Sample1_pt166,36.5,0.02,20.12,28.32,1.02,5.12,7,0.24,Garnet
