PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt304,37.83,0.15,20.66,0.01,28.02,3,1.4,9.86,Garnet
Sample1_pt305,37.65,0.1,20.24,0,27.12,2.96,1.39,10.09,Garnet
Sample1_pt306,38.1,0.18,20.77,0.05,27.01,3.48,1.28,9.94,Garnet
Sample1_pt307,37.74,0.26,20.58,0,27.38,3.47,1.39,9.66,Garnet
Sample1_pt308,37.76,0.12,20.98,0,27.42,3.9,1.42,8.8,Garnet
Sample1_pt309,38.02,0.19,20.59,0.04,27.33,3.77,1.41,9.47,Garnet
Sample1_pt310,37.44,0.06,20.56,0.03,26.63,4.2,1.34,8.96,Garnet
Sample1_pt311,37.49,0.16,20.49,0.05,27.3,3.87,1.44,9.25,Garnet
Sample1_pt312,37.88,0.17,20.72,0.05,27.02,4.17,1.36,9.16,Garnet
Sample1_pt313,37.19,0.22,20.31,0.06,26.07,4.01,1.25,10.29,Garnet
Sample1_pt314,37.44,0.21,20.25,0.01,26.86,3.65,1.59,9.29,Garnet
Sample1_pt315,37.55,0.21,20.52,0,26.8,3.79,1.36,9.75,Garnet
Sample1_pt316,37.45,0.19,20.29,0,26.93,4.04,1.32,9.43,Garnet
Sample1_pt317,37.6,0.14,20.63,0,27.17,3.46,1.72,9.8,Garnet
Sample1_pt318,37.68,0.09,20.72,0.01,27.87,3.62,1.44,9.05,Garnet
Sample1_pt319,37.31,0.2,20.37,0,27.67,3.31,1.37,9.12,Garnet
Sample1_pt320,37.82,0.16,20.51,0.05,28.16,2.87,1.57,9.24,Garnet
Sample1_pt321,37.24,0.07,20.34,0,28.5,2.81,1.44,9.21,Garnet
Sample1_pt322,37.85,0.19,20.65,0.06,29.01,2.24,1.84,8.49,Garnet
Sample1_pt323,37.42,0.18,20.49,0.02,29.14,1.97,1.65,8.46,Garnet
Sample1_pt324,37.5,0.21,20.39,0,29.59,1.86,1.77,8.85,Garnet
Sample1_pt325,37.5,0.02,20.91,0,29.98,1.76,2.32,7.59,Garnet
Sample1_pt326,37.82,0.17,20.61,0.01,29.68,1.32,1.87,8.58,Garnet
Sample1_pt327,37.88,0.09,20.48,0.03,29.3,1.07,2.17,9.1,Garnet
Sample1_pt328,37.65,0.13,20.82,0,30.55,0.86,1.87,8.82,Garnet
Sample1_pt329,37.87,0.19,20.81,0,29.71,0.83,1.81,9.39,Garnet
Sample1_pt330,37.98,0.14,20.75,0,29.83,0.65,2.38,9.08,Garnet
Sample1_pt331,37.79,0.09,21.04,0.05,30.46,0.57,2.21,8.42,Garnet
Sample1_pt332,38.13,0.1,21.11,0.01,29.95,0.47,2.23,9.05,Garnet
Sample1_pt333,37.8,0.09,20.9,0.04,29.98,0.55,2.29,8.78,Garnet
Sample1_pt334,37.94,0.14,21.17,0,30.21,0.39,2.46,8.34,Garnet
Sample1_pt335,38.37,0,21.34,0.04,30.88,0.31,2.45,8.46,Garnet
Sample1_pt336,38.28,0.12,21.12,0.01,30.67,0.28,2.53,8.61,Garnet
Sample1_pt337,37.95,0.02,20.91,0.01,29.39,0.32,2.59,9.01,Garnet
Sample1_pt338,38.33,0.08,21.02,0,30.63,0.33,2.69,8.24,Garnet
Sample1_pt339,38.48,0.06,21.11,0.03,29.81,0.34,2.91,8.46,Garnet
Sample1_pt340,38.29,0.07,21.2,0,28.34,0.22,3.52,8.81,Garnet
Sample1_pt341,38.18,0.07,21.24,0,27.73,0.31,2.99,10.49,Garnet
Sample1_pt342,38.4,0.08,21.39,0,28.1,0.23,3.57,9.1,Garnet
Sample1_pt343,38.31,0,20.79,0.01,28.27,0.21,3.48,8.77,Garnet
Sample1_pt344,38.52,0.06,21.31,0,28.35,0.26,3.31,9.26,Garnet
Sample1_pt345,38.49,0.02,21.29,0,27.97,0.2,3.7,8.86,Garnet
Sample1_pt346,38.67,0,21.69,0.02,26.51,0.08,4.67,8.56,Garnet
